modelled_crossing_id,watershed_group_code,reviewer,structure,notes
101833,ADMS,PK,bridge,
102295,ADMS,PK,bridge,
100151,ADMS,PK,bridge,
100553,ADMS,PK,,no road
601026,BABR,OB,,no road
600318,BABR,OB,,no road
600468,BABR,OB,bridge,
600849,BABR,OB,bridge,
600645,BABR,OB,bridge,
600637,BABR,OB,bridge,
600801,BABR,OB,bridge,
600827,BABR,OB,bridge,
600371,BABR,OB,bridge,
600370,BABR,OB,bridge,
600379,BABR,OB,bridge,
600387,BABR,OB,bridge,
600712,BABR,OB,OBS,
600798,BABR,OB,OBS,
600459,BABR,OB,,no road
600564,BABR,OB,,no road
600557,BABR,OB,,no road
601064,BABR,OB,,no road
601073,BABR,OB,,no road
601026,BABR,OB,,no road
802636,BBAR,OB,,no crossing
801533,BBAR,OB,,no crossing
800528,BBAR,OB,bridge,
802542,BBAR,OB,bridge,
802738,BBAR,OB,OBS,
1201681,BLAR,AL,bridge,
1200551,BLAR,AL,,no road
1202744,BLAR,AL,,no road
1201711,BLAR,AL,,no road
1202200,BLAR,AL,,no road
1202271,BLAR,AL,,no road
1202270,BLAR,AL,,no road
1201321,BLAR,AL,bridge,
1201643,BLAR,AL,bridge,
1201926,BLAR,AL,bridge,
1201555,BLAR,AL,bridge,
1201561,BLAR,AL,bridge,
1201966,BLAR,AL,bridge,
1200369,BLAR,AL,,no crossing
1202206,BLAR,AL,bridge,
1202207,BLAR,AL,bridge,
1200516,BLAR,AL,,no crossing
1201707,BLAR,AL,bridge,
1200924,BLAR,AL,,no crossing
1200926,BLAR,AL,,no crossing
1200069,BLAR,AL,,no crossing
1501337,BOWR,AL,,no road
1501338,BOWR,AL,,no road
1502807,BOWR,AL,bridge,
1501882,BOWR,AL,,no road
1500666,BOWR,AL,,no road
1502083,BOWR,AL,,no crossing
1502410,BOWR,AL,bridge,
1500050,BOWR,AL,,no crossing
2301274,CARR,PK,,no crossing
2301417,CARR,PK,,no crossing
2301418,CARR,PK,bridge,
2300203,CARR,PK,,no road
2300602,CARR,PK,,no road
2300641,CARR,PK,,no crossing
3100138,CLWR,PK,bridge,
3100666,CLWR,PK,bridge,
3400078,COMX,AL,bridge,
3400192,COMX,AL,bridge,
3403172,COMX,AL,bridge,
3403173,COMX,AL,bridge,
3400765,COMX,AL,bridge,
3400762,COMX,AL,bridge,
3400756,COMX,AL,,no crossing
3400311,COMX,AL,,no road
3403490,COMX,AL,bridge,
3403564,COMX,AL,bridge,
3403156,COMX,AL,bridge,
3402474,COMX,AL,bridge,
3400367,COMX,AL,bridge,
3402462,COMX,AL,,no road
3402463,COMX,AL,,no road
3402369,COMX,AL,bridge,
3403318,COMX,AL,bridge,
3501798,COTR,AL,,no road
3502315,COTR,AL,,no road
3500337,COTR,AL,,no road
3503057,COTR,AL,,no road
3503116,COTR,AL,,no road
3502883,COTR,AL,,no road
3502968,COTR,AL,,no road
3501148,COTR,AL,,no road
3501623,COTR,AL,,no road
3506390,COTR,AL,,no road
3506389,COTR,AL,,no road
3501037,COTR,AL,bridge,
3504354,COTR,AL,bridge,
3503936,COTR,AL,bridge,
3503935,COTR,AL,bridge,
3504860,COTR,AL,bridge,
3505634,COTR,AL,bridge,
3505819,COTR,AL,obs,
3605388,COWN,AL,bridge,
3606095,COWN,AL,bridge,
3605732,COWN,AL,bridge,
3603038,COWN,AL,,no road
3900006,DEAD,AL,bridge,
3900134,DEAD,AL,bridge,
