stream_crossing_id,watershed_group_code,updated_barrier_result_code,reviewer,notes
57782,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57811,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57825,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57826,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57827,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57828,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57831,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57832,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57834,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57849,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57850,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57864,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57945,BULK,BARRIER,CWF,based on assessment comments (and imagery review where required)
57946,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57967,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57968,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
57990,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58107,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58153,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58185,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58232,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58287,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58302,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58304,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58322,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58323,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58355,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
58361,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123386,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123427,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123431,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123459,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123480,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123484,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123487,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123497,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123522,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123524,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
123536,BULK,NOT ACCESSIBLE,CWF,based on assessment comments (and imagery review where required)
