stream_crossing_id,modelled_crossing_id,linear_feature_id,watershed_group_code,reviewer,notes
2901,NA,NA,BULK,NA,NA
3041,1804512,NA,BULK,NA,NA
3042,1804508,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3043,1803548,NA,BULK,NA,NA
3044,1803529,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3045,1803570,NA,BULK,NA,NA
3046,1803574,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3047,1804647,NA,BULK,NA,NA
3048,1803799,NA,BULK,NA,NA
3050,1803993,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3051,17059351,NA,BULK,NA,NA
3052,1803711,NA,BULK,NA,NA
3053,1804002,NA,BULK,NA,NA
3054,1803558,NA,BULK,NA,NA
3055,1804645,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3056,1803552,NA,BULK,NA,NA
3057,1803549,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3058,1803514,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3059,1804514,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3060,1805310,NA,BULK,NA,NA
3061,1805306,NA,BULK,NA,NA
3062,1803531,NA,BULK,NA,NA
3063,1803565,NA,BULK,NA,NA
3064,1803799,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3065,1803539,NA,BULK,NA,NA
3066,1803566,NA,BULK,NA,NA
3067,1803577,NA,BULK,NA,NA
3069,1803541,NA,BULK,NJO,Matched to closest stream model (Manual Review)
3070,1803578,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3071,1803542,NA,BULK,NA,NA
3072,1805264,NA,BULK,NA,NA
3073,1803576,NA,BULK,NA,NA
3074,1803803,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3075,1804001,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3076,1803995,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3077,1803678,NA,BULK,NA,NA
3078,1803560,NA,BULK,NA,NA
3079,1804161,NA,BULK,NA,NA
3080,1804166,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3081,1803563,NA,BULK,NA,NA
3082,1804158,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3083,1804350,NA,BULK,NA,NA
3084,1804515,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3085,NA,17081483,BULK,NA,NA
3086,1803569,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3087,1803528,NA,BULK,NA,NA
3088,1803568,NA,BULK,NA,NA
3089,1804648,NA,BULK,NA,NA
3090,1803769,NA,BULK,NA,NA
3091,1803532,NA,BULK,NA,NA
3092,1804164,NA,BULK,NA,NA
3093,1803518,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3094,1804990,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3095,NA,NA,BULK,NA,NA
3096,NA,NA,BULK,NA,NA
3097,NA,NA,BULK,NA,NA
3098,NA,NA,BULK,NA,NA
3116,1804649,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3136,1803551,NA,BULK,NA,NA
3137,1803554,NA,BULK,NA,NA
3138,1803543,NA,BULK,NA,NA
3139,1803553,NA,BULK,NA,NA
3140,1803559,NA,BULK,NA,NA
3141,1803579,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
3142,NA,17071026,BULK,NA,NA
3143,1800069,NA,BULK,NA,NA
3144,1802697,NA,BULK,NJO,Matched to closest stream model (Manual Review)
3145,1806045,NA,BULK,NA,NA
3554,18302309,NA,LNTH,SN,PSCIS crossing coordinates incorrect
6272,1801771,NA,BULK,NA,NA
6273,1804823,NA,BULK,NA,NA
6531,6801574,NA,HORS,NA,NA
6532,6801535,NA,HORS,NA,NA
6533,NA,NA,HORS,NJO,Not on a mapped stream
7677,11304573,NA,LNIC,NA,NA
7883,11305427,NA,LNIC,NA,NA
7885,11304571,NA,LNIC,NA,NA
8237,11305824,NA,LNIC,NA,NA
8239,11304632,NA,LNIC,SN,matched to nearest modelled crossing within 15m (instream)
8240,11304633,NA,LNIC,NJO,Matched to closest stream model (Manual Review)
8245,11304697,NA,LNIC,NA,NA
8246,11304694,NA,LNIC,NA,NA
8733,1803546,NA,BULK,SN,matched to nearest modelled crossing within 15m (instream)
8744,1803546,NA,BULK,NJO,Matched to closest stream model (Manual Review)
8745,24704538,NA,BULK,NA,NA
8758,1804827,NA,BULK,NA,NA
50060,4606391,NA,ELKR,NA,NA
50061,4606344,NA,ELKR,NA,NA
50062,4606349,NA,ELKR,SN,matched to nearest modelled crossing within 15m (instream)
50063,4600388,NA,ELKR,NA,NA
50064,4606364,NA,ELKR,NA,NA
50065,4606207,NA,ELKR,NA,NA
50066,4606183,NA,ELKR,NA,NA
50067,4607397,NA,ELKR,NJO,Matched to closest stream model (Manual Review)
50068,NA,NA,ELKR,NA,NA
