falls_other_id,height,barrier_ind,blue_line_key,downstream_route_measure,watershed_group_code,source,reviewer,notes
1,,,360874977,13421,BULK,WWD,CWF,Porphyry Creek Falls
2,,,360855611,10172,BULK,WWD,CWF,Mudflat Falls
3,,,360821214,6764,BULK,WWD,CWF,Twin Falls
4,,,360873822,55275,BULK,WWD,CWF,Moricetown Falls
5,,,360886221,46656,BULK,WWD,CWF,Buck Falls
6,,,360760898,13621,BULK,WWD,CWF,Dungate Creek Falls
7,,,356424866,477,ELKR,CanVec,CWF,
8,,,356570035,2011,ELKR,WWD,CWF,Fairy Creek Falls
9,,,356568903,19098,ELKR,WWD,CWF,Lower Josephine Falls
10,,,356568903,19718,ELKR,WWD,CWF,Middle Josephine Falls
11,,,356546150,17,ELKR,WWD,CWF,Nivelle Creek Falls
12,,,356568903,20200,ELKR,WWD,CWF,Josephine Falls
13,,,356562350,10858,ELKR,WWD,CWF,Morrissey Falls
14,,,356570035,5615,ELKR,WWD,CWF,Upper Fairy Creek Falls
15,,,356570562,21797,ELKR,WWD,CWF,Elk River Falls
16,,,356266320,184,LNIC,WWD,CWF,Waterfall Creek Falls
17,,,356363343,15924,LNIC,Canvec,CWF,
18,,,356363343,15287,LNIC,Canvec,CWF,
19,,,356363343,11919,LNIC,Canvec,CWF,
20,,,356363343,15223,LNIC,Canvec,CWF,
21,,,356363343,11263,LNIC,Canvec,CWF,
22,,,356363343,6000,LNIC,Canvec,CWF,
23,,,356363343,11380,LNIC,Canvec,CWF,
24,,,356363343,6811,LNIC,Canvec,CWF,
25,,,356363343,14725,LNIC,Canvec,CWF,
26,,,356363343,16715,LNIC,Canvec,CWF,
27,,,356363343,10079,LNIC,Canvec,CWF,
28,,,356363343,8866,LNIC,Canvec,CWF,
29,,,356228196,0,LNIC,Canvec,CWF,
30,,,356363343,6749,LNIC,Canvec,CWF,
31,,,356363343,8621,LNIC,Canvec,CWF,
32,,,356363343,15761,LNIC,Canvec,CWF,
33,,,356363343,16668,LNIC,Canvec,CWF,
34,,,356363343,9821,LNIC,Canvec,CWF,
35,,,356363343,9171,LNIC,Canvec,CWF,
36,,,356363343,5923,LNIC,Canvec,CWF,
37,,,356363343,12221,LNIC,Canvec,CWF,
38,,,356363343,14889,LNIC,Canvec,CWF,
39,,,360775271,1267,BULK,FISS,CWF,FALLS
40,,,360432362,86,BULK,FISS,CWF,FALLS
41,,,360762625,3197,BULK,FISS,CWF,FALLS
43,,,360302519,352,BULK,FISS,CWF,
44,,,356565783,7882,ELKR,FISS,CWF,
45,,,356497011,803,ELKR,FISS,CWF,
46,,,356218392,260,HORS,FISS,CWF,
47,,,356343850,1290,HORS,FISS,CWF,
48,,,356361560,12051,HORS,FISS,CWF,
49,,,360873164,15825,BULK,Irvine 2020,CWF,Canyon Creek Falls
50,,,360880400,11184,BULK,Irvine 2020,CWF,Deep Creek Falls
51,,,360880400,12418,BULK,Irvine 2020,CWF,Deep Creek Falls 2
52,,,360615745,1780,BULK,Irvine 2020,CWF,
53,,,360817924,4781,BULK,Irvine 2020,CWF,
54,,,360817924,2958,BULK,Irvine 2020,CWF,
55,,,360817924,2880,BULK,Irvine 2020,CWF,
56,,,360856488,6732,BULK,Irvine 2020,CWF,ThreeFalls
57,,,360856488,9963,BULK,Irvine 2020,CWF,
58,,,360856488,10086,BULK,Irvine 2020,CWF,
59,,,360788426,3461,BULK,Irvine 2020,CWF,RichfieldFalls
60,,,360788426,7274,BULK,Irvine 2020,CWF,Lower Findlay Falls
61,,,360883143,1441,BULK,Irvine 2020,CWF,Redtop Falls
62,,,360788426,13765,BULK,Irvine 2020,CWF,Tacheck Falls
63,,,360873822,233558,BULK,Irvine 2020,CWF,Bulkley Falls
64,,,360872135,5262,BULK,Irvine 2020,CWF,
65,,,360872135,4962,BULK,Irvine 2020,CWF,
66,,,360827197,1482,BULK,Irvine 2020,CWF,
67,,,360827197,3740,BULK,Irvine 2020,CWF,
68,,,360827197,3826,BULK,Irvine 2020,CWF,
69,,,360827197,3886,BULK,Irvine 2020,CWF,
70,,,360827197,4677,BULK,Irvine 2020,CWF,
71,,,360760898,3168,BULK,Irvine 2020,CWF,Lower Dungate
72,,,360760898,2829,BULK,Irvine 2020,CWF,Lower Dungate
73,,,360760898,1530,BULK,Irvine 2020,CWF,
74,,,360657545,773,BULK,Irvine 2020,CWF,
75,,,360760898,13761,BULK,Irvine 2020,CWF,Dungate Falls
76,,,360788426,9899,BULK,Irvine 2020,CWF,Findlay Falls
77,,t,356264650,4,LNIC,CWF WCRP,NJO,Seasonal stream descends over vertical bedrock wall no headwater lakes to support any isolated fish population
