id,featur_typ_code,point_id_field,utm_zone,utm_easting,utm_northing,height,length,strsrvy_rchsrvy_id,sitesrvy_id,comments
702,F,57746,11,384564,5627446,4.0,,27517,,
704,F,57765,11,378173,5627124,2.0,,27532,,
715,F,57804,11,371183,5619919,1.0,,,1498,"Fish obstruction, not a barrier."
727,F,57839,11,375572,5621999,3.0,,,1509,Bedrock and boulder fish barrier.
1851,F,71519,,,,,,,1995,
1852,F,71519,,,,,,,1995,
1853,F,72165,11,491385,5473824,2.5,3,,2056,
1854,F,72171,11,483225,5468801,3.0,4,,2060,Upstream view of falls.
1855,F,72174,11,483029,5469329,2.5,3,,2061,
1856,F,72182,,,,5.0,3,,2067,The falls are a fish barrier.
1857,F,72186,11,486506,5470761,4.8,2,,2069,Fish migration barrier.
1858,F,72191,11,489313,5470601,4.0,2,,2072,Falls are a fish barrier
1859,F,72195,11,490604,5474064,,,,2074,Could not determine exact height of falls since seen from helicopter.
2027,D,79777,11,525625,5658055,2.0,,37020,,
2046,D,79891,11,523923,5659198,0.7,,,2233,Man Made
2047,D,79893,11,523996,5659214,,,,2233,Man Made
2053,D,79919,11,518073,5664207,1.2,,,2240,Man Made
2059,D,79941,11,522284,5660437,,,,2245,Irrigation dam
2062,F,79953,11,526225,5660464,5.0,,,2248,
2112,F,89708,11,491785,5561071,4.1,2,,2410,FISH BARRIER
2113,F,89711,11,491080,5561605,3.0,4,,2411,BARRIER TO UP STREAM FISH DISTRIBUTION
2153,F,93763,11,436001,5484890,3.0,4,,2537,up stream view of falls
2172,F,106053,11,471508,5547855,9.0,4,,2574,fish barrier  scale=tara
2176,F,106103,11,469684,5574310,2.3,4,,2595,FALLS OVER BEDROCK; POTENTIAL FISH BARRIER; HEIGHT MEASURED FROM BOTTOM OF STEPS
2177,F,106109,11,462116,5562749,4.5,8,,2597,cascade at reach break
2178,F,106115,11,463024,5568525,1.5,15,,2599,"falls over bedrock, 4 sets, photo did not turn out"
2181,F,106131,11,474095,5552911,45.0,10,,2604,falls d/s of monitor
2721,D,123465,10,379723,6098732,0.5,,57781,,Earthworks u/s of crossing has created a blockage
3617,F,148776,10,404582,6120619,5.0,,76952,,"Waterfall identified from FISS 093N01, March 1995, no photo, did not encounter these falls within sample site"
3624,F,149120,10,409535,6118982,2.3,,,3415,This waterfall is 2.36m tall and a barrier to fish passage. It was well documented during 1997 FHAP work by D. McKenna. also R 8 F 21
3625,F,149136,10,406587,6118819,2.1,,,3422,No fish captured u/s of this fall during FAFHI or 1997 FHAP work.
3626,F,149172,10,397863,6116518,1.9,,,3439,1.86 m waterfall associated with 30m cascade
4707,F,165769,9,614962,5545264,6.0,,95137,,Long series of 4-5 falls ranging from 1-6 m in height.
4710,F,165777,9,615652,5546795,3.3,,95138,,3.3 meter rock falls.
4711,F,165779,9,615602,5546279,4.0,,95138,,"4.0 meter rock falls, unconfirmed in field."
4713,F,165787,9,614666,5549389,3.0,,95140,,"3.0 m rock falls, unconfirmed in field"
4715,F,165793,9,615054,5549576,7.0,,95141,,"7.0 meter verticle falls, confirmed in field. Additional pictures R3 F18/19."
4718,F,165805,9,615176,5552400,13.4,,95144,,Falls located at reach break 6
4747,F,174657,11,620262,5590421,30.0,,99503,,Bedrock falls.  Impassible by all species.
4853,F,180064,11,446269,5443853,2.5,0,,4980,20m upstream from mouth.
4854,D,180068,11,445143,5443744,2.0,2,,4981,Manmade dam and spill way ~30m downstream from Site UTMs.
4855,D,180092,11,437458,5446297,1.0,0,,4993,Man made dam for water intake.
4856,D,180094,11,437250,5446202,1.5,0,,4993,Man made dam for water intake.
5460,F,191583,9,523135,6282171,2.0,,106938,,
5461,F,191585,9,523016,6282382,2.0,,106938,,
5462,F,191599,9,529985,6293477,1.5,,106950,,
5464,F,191605,9,510771,6301967,2.0,,106952,,
5465,F,191607,9,510334,6301875,3.0,,106952,,
5466,F,191617,9,480633,6320388,2.0,,106960,,
5467,F,191619,9,480594,6320904,6.0,,106960,,
5468,F,191621,9,480157,6321697,8.0,,106960,,
5471,F,191630,9,516404,6246598,2.0,,106963,,
5472,F,191642,9,525873,6277119,2.0,,106973,,
