watershed_group_code,wcrp_barrier_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
BULK,DAM,131.64,154.56,186.18,342.85,13.54,73.04,132.66,315.36,186.89,477.62,477.62
BULK,RAIL,1989.61,2327.42,2738.54,5002.97,191.69,1713.77,2020.17,4423.47,2812.46,7596.90,7667.37
BULK,"ROAD, DEMOGRAPHIC",3900.77,4418.26,5140.14,9029.07,206.08,3072.23,3783.52,8027.12,5618.10,13754.01,14236.02
BULK,"ROAD, RESOURCE/OTHER",3526.42,4264.61,4939.95,8698.77,155.56,1539.70,3649.09,8085.90,5125.60,11913.85,12098.12
BULK,TRAIL,0.00,0.00,2.06,4.93,0.00,0.00,0.00,5.06,2.06,5.69,5.69
LNIC,DAM,40.62,1.73,55.58,13.79,6.43,92.97,61.49,2.18,66.51,107.19,172.99
LNIC,RAIL,463.79,84.75,609.65,166.49,9.01,92.97,599.79,96.28,674.73,268.44,865.56
LNIC,"ROAD, DEMOGRAPHIC",4495.38,540.04,5942.62,1485.58,96.53,1022.67,5714.06,675.47,6578.07,2619.63,8720.62
LNIC,"ROAD, RESOURCE/OTHER",1695.90,188.01,2319.61,537.90,59.08,557.82,2397.96,225.02,2704.12,1124.07,3666.45
LNIC,TRAIL,3166.51,331.77,4118.12,934.68,72.08,743.76,3996.77,421.73,4541.16,1750.84,6001.74
LNIC,WEIR,0.51,2.50,4.99,5.67,0.00,0.00,2.52,2.50,4.99,5.67,8.16
