watershed_group_code,wcrp_barrier_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
BULK,DAM,0.00,0.00,0.90,9.87,0.00,0.00,0.00,2.63,0.90,12.10,12.10
BULK,RAIL,9.21,13.67,22.48,41.71,0.00,0.00,12.02,40.80,22.48,50.46,50.46
BULK,"ROAD, DEMOGRAPHIC",23.43,44.62,64.13,142.60,0.00,10.56,31.03,127.74,64.13,188.91,188.91
BULK,"ROAD, RESOURCE/OTHER",38.04,74.52,114.03,299.05,2.23,41.15,46.49,345.51,114.37,486.51,486.51
BULK,TRAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BULK,,0.00,0.00,0.68,14.34,0.00,0.00,0.00,16.86,0.68,20.66,20.66
ELKR,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,612.96,602.42,689.90
ELKR,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.01,14.60,14.64
ELKR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.51,46.52,46.52
ELKR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.07,464.70,466.79
ELKR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,4.33,4.33
HORS,DAM,0.00,0.00,0.00,8.09,0.00,0.00,0.00,0.00,0.00,8.09,8.09
HORS,"ROAD, DEMOGRAPHIC",0.00,1.58,3.38,5.45,3.38,0.00,0.00,0.00,3.38,5.51,8.89
HORS,"ROAD, RESOURCE/OTHER",0.00,2.45,1.52,17.86,0.29,0.00,0.00,0.00,1.52,17.86,17.86
HORS,,0.00,0.00,0.69,1.07,0.00,0.00,0.00,0.00,0.69,1.07,1.07
LNIC,DAM,0.00,0.00,1.79,4.00,0.00,0.00,0.00,2.65,1.79,4.36,4.36
LNIC,"ROAD, DEMOGRAPHIC",0.75,0.75,0.94,15.31,0.00,0.00,0.76,10.85,0.94,21.38,21.38
LNIC,"ROAD, RESOURCE/OTHER",2.57,2.78,7.95,43.40,0.00,0.00,2.73,30.63,7.95,63.62,63.62
LNIC,TRAIL,0.00,0.33,1.16,3.81,0.00,0.00,0.00,1.54,1.16,4.77,4.77
LNIC,WEIR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LNIC,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.09,0.00,0.09,0.09
