blue_line_key,downstream_route_measure,barrier_ind,height,watershed_group_code,source,reviewer,notes
360874977,13421,f,,BULK,WWD,CWF,Porphyry Creek Falls
360855611,10172,f,,BULK,WWD,CWF,Mudflat Falls
360821214,6764,f,,BULK,WWD,CWF,Twin Falls
360873822,55275,f,,BULK,WWD,CWF,Moricetown Falls
360886221,46656,f,,BULK,WWD,CWF,Buck Falls
360760898,13621,f,,BULK,WWD,CWF,Dungate Creek Falls
356424866,477,f,,ELKR,CANVEC,CWF,
356570035,2011,f,,ELKR,WWD,CWF,Fairy Creek Falls
356568903,19098,f,,ELKR,WWD,CWF,Lower Josephine Falls
356568903,19718,f,,ELKR,WWD,CWF,Middle Josephine Falls
356546150,17,f,,ELKR,WWD,CWF,Nivelle Creek Falls
356568903,20200,f,,ELKR,WWD,CWF,Josephine Falls
356562350,10858,f,,ELKR,WWD,CWF,Morrissey Falls
356570035,5615,f,,ELKR,WWD,CWF,Upper Fairy Creek Falls
356570562,21797,f,,ELKR,WWD,CWF,Elk River Falls
356266320,184,f,,LNIC,WWD,CWF,Waterfall Creek Falls
356363343,15924,f,,LNIC,CANVEC,CWF,
356363343,15287,f,,LNIC,CANVEC,CWF,
356363343,11919,f,,LNIC,CANVEC,CWF,
356363343,15223,f,,LNIC,CANVEC,CWF,
356363343,11263,f,,LNIC,CANVEC,CWF,
356363343,6000,f,,LNIC,CANVEC,CWF,
356363343,11380,f,,LNIC,CANVEC,CWF,
356363343,6811,f,,LNIC,CANVEC,CWF,
356363343,14725,f,,LNIC,CANVEC,CWF,
356363343,16715,f,,LNIC,CANVEC,CWF,
356363343,10079,f,,LNIC,CANVEC,CWF,
356363343,8866,f,,LNIC,CANVEC,CWF,
356228196,0,f,,LNIC,CANVEC,CWF,
356363343,6749,f,,LNIC,CANVEC,CWF,
356363343,8621,f,,LNIC,CANVEC,CWF,
356363343,15761,f,,LNIC,CANVEC,CWF,
356363343,16668,f,,LNIC,CANVEC,CWF,
356363343,9821,f,,LNIC,CANVEC,CWF,
356363343,9171,f,,LNIC,CANVEC,CWF,
356363343,5923,f,,LNIC,CANVEC,CWF,
356363343,12221,f,,LNIC,CANVEC,CWF,
356363343,14889,f,,LNIC,CANVEC,CWF,
360873164,15825,f,,BULK,Irvine 2020,CWF,Canyon Creek Falls
360880400,11184,f,,BULK,Irvine 2020,CWF,Deep Creek Falls
360880400,12418,f,,BULK,Irvine 2020,CWF,Deep Creek Falls 2
360615745,1780,f,,BULK,Irvine 2020,CWF,
360817924,4781,f,,BULK,Irvine 2020,CWF,
360817924,2958,f,,BULK,Irvine 2020,CWF,
360817924,2880,t,,BULK,Irvine 2020,AI,Rasberry Falls
360856488,6732,t,,BULK,Irvine 2020,AI,ThreeFalls
360856488,9963,f,,BULK,Irvine 2020,CWF,
360856488,10086,f,,BULK,Irvine 2020,CWF,
360788426,3461,t,,BULK,Irvine 2020,AI,RichfieldFalls
360788426,7274,f,,BULK,Irvine 2020,CWF,Lower Findlay Falls
360883143,1441,f,,BULK,Irvine 2020,CWF,Redtop Falls
360788426,13765,f,,BULK,Irvine 2020,CWF,Tacheck Falls
360873822,233558,f,,BULK,Irvine 2020,CWF,Bulkley Falls
360872135,5262,f,,BULK,Irvine 2020,CWF,
360872135,4962,f,,BULK,Irvine 2020,CWF,
360827197,1482,f,,BULK,Irvine 2020,CWF,
360827197,3740,f,,BULK,Irvine 2020,CWF,
360827197,3826,f,,BULK,Irvine 2020,CWF,
360827197,3886,f,,BULK,Irvine 2020,CWF,
360827197,4677,f,,BULK,Irvine 2020,CWF,
360760898,3168,f,,BULK,Irvine 2020,CWF,Lower Dungate
360760898,2829,f,,BULK,Irvine 2020,CWF,Lower Dungate
360760898,1530,f,,BULK,Irvine 2020,CWF,
360657545,773,f,,BULK,Irvine 2020,CWF,
360760898,13761,f,,BULK,Irvine 2020,CWF,Dungate Falls
360788426,9899,f,,BULK,Irvine 2020,CWF,Findlay Falls
356264650,4,t,,LNIC,CWF WCRP,NJO,Seasonal stream descends over vertical bedrock wall no headwater lakes to support any isolated fish population
356317730,2087,t,,HORS,Hocquard 2021,SH,Black Creek Falls
360869846,6617,t,,BULK,Irvine 2020,AI,Wilson Falls
360875378,3800,t,,BULK,ECOCAT,AI,McQuarrie Creek 4-5 confirmed impassable falls - http://a100.gov.bc.ca/appsdata/acat/documents/r8931/Mid-BulkleyDetailedFishHabitatRiparian.ChannelAss_1169052197910_e76ab8bf05ee4953b589da961b220f69.pdf
