barrier_type,barrier_name,blue_line_key,downstream_route_measure,watershed_group_code,reviewer_name,review_date,source,notes
EXCLUSION,Local knowldedge - Stump Lake Creek Dam,356348366,1013,LNIC,SN,2021-01-01,CWF WCRP,Stream above this point excluded from WCRP planning due to invasive species concerns
EXCLUSION,Erickson Creek exclusion,356549622,42,ELKR,NMW,2021-01-01,CWF WCRP,Stream does not exist due to mining impacts
MISC,Local knowledge - Hamilton Creek,356341914,140,LNIC,SN,2021-01-01,CWF WCRP,
MISC,Stream dissipation,356332517,0,LNIC,NJO,2021-01-01,CWF WCRP,Impassable to fish
MISC,Cascade,356162422,23120,LNIC,NJO,2021-01-01,CWF WCRP,Impassable 8m long cascade barrier located ~25m downstream No perennial fish habitat u/s of the barrier.
MISC,Steep gradient,356308732,200,LNIC,NJO,2021-01-01,CWF WCRP,Too steep for fish use - no headwater lakes to support any isolated fish population
MISC,Steep gradient,356221118,2058,LNIC,NJO,2021-01-01,CWF WCRP,Seasonal stream diverted to ditch – descends at 25% to the main stem Impassable to fish no perennial upstream
MISC,Gradient barrier on trib to west of Barker Creek,356213071,390,HORS,SH,2021-01-01,CWF WCRP,Local knowledge
MISC,Intermittent barrier on trib to west of Patenaude Creek,356208960,787,HORS,SH,2021-01-01,CWF WCRP,non-fish bearing stream
MISC,Intermittent barrier on trib to east of Patenaude Creek,356304613,145,HORS,SH,2021-01-01,CWF WCRP,Non-fish bearing stream
MISC,Natural barrier on trib to Mussel Creek,356265216,327,HORS,SH,2021-01-01,CWF WCRP,Possible salmon habitat to this point
MISC,Natural barrier on Mussel Creek,356351116,1864,HORS,SH,2021-01-01,CWF WCRP,Small stream no indication of salmon habitat beyond this point
MISC,Intermittent barrier on trib to Horsefly River,356350431,71,HORS,SH,2021-01-01,CWF WCRP,Dry gulch low to no habitat value
MISC,Intermittent barrier on trib to Horsefly River,356024294,0,HORS,SH,2021-01-01,CWF WCRP,Dry gulch low to no habitat value
MISC,Intermittent barrier on trib 1 South of Horsefly River,356257013,173,HORS,SH,2021-01-01,CWF WCRP,Dr/intermittent
MISC,Intermittent barrier on trib 2 South of Horsefly River,356358002,260,HORS,SH,2021-01-01,CWF WCRP,Dry/intermittent
