blue_line_key,downstream_route_measure,upstream_route_measure,watershed_group_code,species_code,spawning,rearing,reviewer_name,review_date,source,notes
356366321,0,1030,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356385867,0,208,ELKR,WCT,1,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356392414,0,170,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356397040,0,314,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356404889,0,15,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356413411,0,169,ELKR,WCT,1,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356429145,0,507,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356435249,0,781,ELKR,WCT,1,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356437224,0,186,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356437318,0,139,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356448507,0,237,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356448507,237,416,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356461890,0,81,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356461951,0,13,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356463596,0,41,ELKR,WCT,1,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356466128,0,559,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356467318,0,266,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356473826,0,599,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356475042,0,842,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356475042,0,469,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356480727,0,397,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356480727,0,581,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356482501,0,58,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356483055,0,149,ELKR,WCT,1,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356484547,0,278,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356495329,0,284,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356495329,0,318,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356496743,0,176,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356499022,0,238,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356502702,0,390,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356504427,0,224,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356507053,0,274,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356507632,0,216,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
356514573,0,577,ELKR,WCT,,1,KO,2021-01-01,Upper Fording River Teck Assessment,
356514573,0,416,ELKR,WCT,1,,KO,2021-01-01,Upper Fording River Teck Assessment,
