fish_observation_point_id,retain_ind,reviewer_name,review_date,source,notes
309619,f,BR,2022-04-01,,RAB survey database point. Could not be verified but impassable falls at 3.2 km confirmed
309622,f,BR,2022-04-01,,RAB survey database point. Could not be verified but impassable falls at 3.2 km confirmed
255317,f,BR,2022-04-01,,Could not be verified (reference is hard copy only) however coho presence highly unlikely
288609,f,BR,2022-04-01,,Could not be verified (reference is hard copy only) however coho presence highly unlikely
288608,f,BR,2022-04-01,,Could not be verified (reference is hard copy only) however coho presence highly unlikely
288610,f,BR,2022-04-01,,Could not be verified (reference is hard copy only) however coho presence highly unlikely
264060,f,BR,2022-04-01,,Falls appear to be mapped slightly incorrectly. Falls are displayed upstream of these points in HabitatWizard
264059,f,BR,2022-04-01,,Falls appear to be mapped slightly incorrectly. Falls are displayed upstream of these points in HabitatWizard
264067,f,BR,2022-04-01,,Falls appear to be mapped slightly incorrectly. Falls are displayed upstream of these points in HabitatWizard
1785,f,BR,2022-04-01,,"Reference file only notes CT. Another lake survey says all spawning occurs below lake, lake empties via 200' falls (report ID 35707)."
1962,f,BR,2022-04-01,,"Reference file only notes CT. Another lake survey says all spawning occurs below lake, lake empties via 200' falls (report ID 35707)."
1963,f,BR,2022-04-01,,"Reference file only notes CT. Another lake survey says all spawning occurs below lake, lake empties via 200' falls (report ID 35707)."
1961,f,BR,2022-04-01,,"Reference file only notes CT. Another lake survey says all spawning occurs below lake, lake empties via 200' falls (report ID 35707)."
254649,f,BR,2022-04-01,,Reference docs in hard copy only but known falls restrict access to upper watershed
253584,f,BR,2022-04-01,,Reference docs in hard copy only but known falls restrict access to upper watershed
253582,f,BR,2022-04-01,,Reference docs in hard copy only but known falls restrict access to upper watershed
253702,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
253614,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
253697,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
128086,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
254,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
7076,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
248420,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
1803,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
128088,f,BR,2022-04-01,,QGIS query of obs_ids only returns 3 records. Can only locate one file from SFU study. Study says they sampled 2 Stoney Creeks but submission file only shows 1 Stoney. Likely got the stream mixed up with Coquitlam
279513,f,BR,2022-04-01,,"query returned only 1 of the 2 records. Reference document says fish captured at 33rd Ave, no specific coordinates. Appears to have been mapped inaccurately."
279517,f,BR,2022-04-01,,"query returned only 1 of the 2 records. Reference document says fish captured at 33rd Ave, no specific coordinates. Appears to have been mapped inaccurately."
277831,f,BR,2022-04-01,,Can't verify but no records of fish on FHIIP/FISS maps 
84921,f,BR,2022-04-01,,could not locate record but DFO catalogue of salmon streams shows all coho activity in mainstem and south of Highway 1
272845,f,BR,2022-04-01,,Nothing in reference report to indicate exact location(s) of fish
272907,f,BR,2022-04-01,,Nothing in reference report to indicate exact location(s) of fish
2026,f,BR,2022-04-01,,Nairn Falls blocks all anadromous fish passage
2008,f,BR,2022-04-01,,Nairn Falls blocks all anadromous fish passage
2029,f,BR,2022-04-01,,Nairn Falls blocks all anadromous fish passage
248716,f,BR,2022-04-01,,Nairn Falls blocks all anadromous fish passage
276638,f,BR,2022-04-01,,Nairn Falls blocks all anadromous fish passage
253276,f,BR,2022-04-01,,Nothing in reference report for this creek
253274,f,BR,2022-04-01,,Nothing in reference report for this creek
242209,f,BR,2022-04-01,,reference document is untitled so can't find. CO SK noted as spawning near mouth of stream. However impassable canyon noted as 5 km from mouth (Catalogue of Salmon Streams Alsek-Taku-Stikine)
