stream_crossing_id,user_barrier_status,watershed_group_code,reviewer_name,review_date,notes
3050,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
3067,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
3077,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
3142,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
3143,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57760,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57761,PASSABLE,BULK,LB,2024-02-27,"Based on assessment comments, structure is a ford and no fish passage concerns"
57763,PASSABLE,BULK,LB,2024-02-27,"Previous fix made in error, update fix table entry to passable"
57764,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57766,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57767,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57768,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57774,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57776,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57777,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57779,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57790,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57791,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57794,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57799,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57812,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57815,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57820,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57823,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57834,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57840,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57841,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57842,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57853,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57854,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57858,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57864,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57867,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57868,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57877,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57881,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57889,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57890,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57891,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57893,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57895,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57897,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57901,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57902,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57903,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57904,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57918,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57920,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57928,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57932,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57938,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57939,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57945,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57951,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57957,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57961,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57963,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57965,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57980,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57995,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57996,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57998,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
57999,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58000,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58001,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58003,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58005,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58009,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58010,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58012,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58024,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58025,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58026,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58029,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58034,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58037,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58038,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58039,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58041,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58044,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58048,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58049,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58052,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58053,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58054,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58056,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58058,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58061,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58063,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58065,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58074,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58075,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58076,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58077,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58079,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58080,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58082,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58084,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58089,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58091,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58094,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58095,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58097,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58098,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58101,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58102,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58104,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58105,PASSABLE,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
58106,BARRIER,BULK,CWF,2021-01-01,based on assessment comments (and imagery review where required)
