column_name,description
aggregated_crossings_id,"Unique identifier for crossing, generated from stream_crossing_id, modelled_crossing_id + 1000000000, dam_id + 1100000000, misc_barrier_anthropogenic_id + 1200000000"
stream_crossing_id,PSCIS stream crossing unique identifier
dam_id,BC Dams unique identifier
misc_barrier_anthropogenic_id,Misc anthropogenic barriers unique identifier
modelled_crossing_id,Modelled crossing unique identifier
crossing_source,"Data source for the crossing, one of: {PSCIS,MODELLED CROSSINGS,BCDAMS,MISC BARRIERS}"
pscis_status,"From PSCIS, the current_pscis_status of the crossing, one of: {ASSESSED,HABITAT CONFIRMATION,DESIGN,REMEDIATED}"
crossing_type_code,"Defines the type of crossing present at the location of the stream crossing. Acceptable types are: OBS = Open Bottom Structure CBS = Closed Bottom Structure OTHER = Crossing structure does not fit into the above categories. Eg: ford, wier"
crossing_subtype_code,"Further definition of the type of crossing, one of {BRIDGE,CRTBOX,DAM,FORD,OVAL,PIPEARCH,ROUND,WEIR,WOODBOX,NULL}"
modelled_crossing_type_source,"List of sources that indicate if a modelled crossing is open bottom, Acceptable values are: FWA_EDGE_TYPE=double line river, FWA_STREAM_ORDER=stream order >=6, GBA_RAILWAY_STRUCTURE_LINES_SP=railway structure, ""MANUAL FIX""=manually identified OBS, MOT_ROAD_STRUCTURE_SP=MoT structure, TRANSPORT_LINE_STRUCTURE_CODE=DRA structure}"
barrier_status,"The evaluation of the crossing as a barrier to the fish passage. From PSCIS, this is based on the FINAL SCORE value. For other data sources this varies. Acceptable Values are: PASSABLE - Passable, POTENTIAL - Potential Barrier, BARRIER - Barrier, UNKOWN - Other"
pscis_road_name,"PSCIS road name, taken from the PSCIS assessment data submission"
transport_line_structured_name_1,"DRA road name, taken from the nearest DRA road (within 30m)"
transport_line_type_description,"DRA road type, taken from the nearest DRA road (within 30m)"
transport_line_surface_description,"DRA road surface, taken from the nearest DRA road (within 30m)"
ften_forest_file_id,"FTEN road forest_file_id value, taken from the nearest FTEN road (within 30m)"
ften_file_type_description,"FTEN road tenure type (Forest Service Road, Road Permit, etc), taken from the nearest FTEN road (within 30m)"
ften_client_number,"FTEN road client number, taken from the nearest FTEN road (within 30m)"
ften_client_name,"FTEN road client name, taken from the nearest FTEN road (within 30m)"
ften_life_cycle_status_code,"FTEN road life_cycle_status_code (active or retired, pending roads are not included), taken from the nearest FTEN road (within 30m)"
rail_track_name,"Railway name, taken from nearest railway (within 25m)"
rail_owner_name,"Railway owner name, taken from nearest railway (within 25m)"
rail_operator_english_name,"Railway operator name, taken from nearest railway (within 25m)"
