column,description
``assessment_watershed_id``,Assessment watershed polygon identifier (watershed_feature_id)
``length_total``,"Total length of the stream network in the watershed (includes network connectors within waterbodies)"
``length_naturallyaccessible_obsrvd_bt``,"Stream network observed as accessible to Bull Trout (km)"
``length_naturallyaccessible_obsrvd_bt_access_a``,"Observed accessible Bull Trout stream downstream of known anthropogenic barriers (km)"
``length_naturallyaccessible_obsrvd_bt_access_b``,"Observed accessible Bull Trout stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_model_bt``,"Stream network modelled as accessible to Bull Trout (km)"
``length_naturallyaccessible_model_bt_access_a``,"Modelled accessible Bull Trout stream downstream of known anthropogenic barriers  (km)"
``length_naturallyaccessible_model_bt_access_b``,"Modelled accessible Bull Trout stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_obsrvd_salmon``,"Stream network observed as accessible to Pacific Salmon (km)"
``length_naturallyaccessible_obsrvd_salmon_access_a``,"Observed accessible Pacific Salmon stream downstream of known anthropogenic barriers (km)"
``length_naturallyaccessible_obsrvd_salmon_access_b``,"Observed accessible Pacific Salmon stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_model_salmon``,"Stream network modelled as accessible to Pacific Salmon (km)"
``length_naturallyaccessible_model_salmon_access_a``,"Modelled accessible Pacific Salmon stream downstream of known anthropogenic barriers  (km)"
``length_naturallyaccessible_model_salmon_access_b``,"Modelled accessible Pacific Salmon stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_obsrvd_st``,"Stream network observed as accessible to Steelhead (km)"
``length_naturallyaccessible_obsrvd_st_access_a``,"Observed accessible Steelhead stream downstream of known anthropogenic barriers (km)"
``length_naturallyaccessible_obsrvd_st_access_b``,"Observed accessible Steelhead stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_model_st``,"Stream network modelled as accessible to Steelhead (km)"
``length_naturallyaccessible_model_st_access_a``,"Modelled accessible Steelhead stream downstream of known anthropogenic barriers  (km)"
``length_naturallyaccessible_model_st_access_b``,"Modelled accessible Steelhead stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_obsrvd_wct``,"Stream network observed as accessible to West Slope Cutthroat Trout (km)"
``length_naturallyaccessible_obsrvd_wct_access_a``,"Observed accessible West Slope Cutthroat Trout stream downstream of known anthropogenic barriers (km)"
``length_naturallyaccessible_obsrvd_wct_access_b``,"Observed accessible West Slope Cutthroat Trout stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_naturallyaccessible_model_wct``,"Stream network modelled as accessible to West Slope Cutthroat Trout (km)"
``length_naturallyaccessible_model_wct_access_a``,"Modelled accessible West Slope Cutthroat Trout stream downstream of known anthropogenic barriers  (km)"
``length_naturallyaccessible_model_wct_access_b``,"Modelled accessible West Slope Cutthroat Trout stream downstream of known anthropogenic barriers and modelled culverts (km)"
``length_spawningrearing_obsrvd_bt``,"Known/observed spawning and rearing, Bull Trout (km)"
``length_spawningrearing_obsrvd_bt_access_a``,"Known/observed spawning and rearing downstream of known anthropogenic barriers, Bull Trout (km)"
``length_spawningrearing_obsrvd_bt_access_b``,"Known/observed spawning and rearing downstream of known anthropogenic barriers and modelled culverts, Bull Trout (km)"
``length_spawningrearing_model_bt``,"Modelled spawning and rearing, Bull Trout (km)"
``length_spawningrearing_model_bt_access_a``,"Modelled spawning and rearing downstream of known anthropogenic barriers, Bull Trout (km)"
``length_spawningrearing_model_bt_access_b``,"Modelled spawning and rearing downstream of known anthropogenic barriers and modelled culverts, Bull Trout (km)"
``length_spawningrearing_obsrvd_ch``,"Known/observed spawning and rearing, Chinook (km)"
``length_spawningrearing_obsrvd_ch_access_a``,"Known/observed spawning and rearing downstream of known anthropogenic barriers, Chinook (km)"
``length_spawningrearing_obsrvd_ch_access_b``,"Known/observed spawning and rearing downstream of known anthropogenic barriers and modelled culverts, Chinook (km)"
``length_spawningrearing_model_ch``,"Modelled spawning and rearing, Chinook (km)"
