watershed_group_code,model
ALBN,mad
ATLL,
ATNA,cw
BABL,cw
BABR,cw
BARR,cw
BELA,mad
BRKS,mad
BULK,cw
CAMB,mad
CHIR,mad
CHWK,mad
CLAY,mad
COMX,mad
COWN,mad
DRIR,mad
FRAN,mad
FRCN,mad
GOLD,cw
GRAI,cw
HARR,mad
HOLB,mad
HOMA,cw
INKR,mad
ISKR,
JERV,cw
KAKC,
KEEC,cw
KHTZ,cw
KINR,cw
KISP,cw
KITL,cw
KITR,cw
KLAR,
KLIN,cw
KLUM,cw
KNIG,cw
KSHR,cw
KTSU,cw
KUMR,cw
KUSR,
LBIR,cw
LDEN,mad
LFRA,cw
LILL,mad
LISR,mad
LKEL,cw
LNAR,cw
LNIC,cw
LRDO,mad
LSKE,mad
LSTR,cw
MBNK,mad
MESC,mad
MORI,mad
MORR,mad
MSKE,cw
MSTR,cw
NAHR,cw
NAKR,cw
NASC,mad
NASR,cw
NBNK,mad
NECL,cw
NECR,cw
NEVI,mad
NIEL,mad
NIMP,cw
OWIK,mad
PARK,cw
PORI,cw
SALM,mad
SANJ,mad
SETN,cw
SEYM,mad
SHER,cw
SIML,cw
SKGT,cw
SPAT,
SQAM,mad
STIR,mad
STUL,cw
TAHR,mad
TAHS,cw
TAKL,cw
TASR,mad
TATR,mad
TAYR,cw
TOBA,mad
TSAY,cw
TSIT,cw
TUTR,
TUYR,
UBIR,mad
UDEN,mad
UEUT,cw
UNAR,cw
UNRS,cw
UNUR,mad
USKE,mad
UTRE,cw
VICT,mad
WORC,mad
ZYMO,cw
