watershed_group_code,model
ADMS,mad
ALBN,cw
BBAR,mad
BONP,mad
BOWR,mad
BULK,mad
CARR,mad
CHWK,mad
COMX,cw
COTR,mad
COWN,cw
DEAD,mad
DRIR,mad
ELKR,mad
FRAN,mad
FRCN,mad
HARR,mad
HORS,mad
KISP,cw
KITR,cw
KLUM,cw
LCHL,mad
LFRA,mad
LILL,mad
LKEL,cw
LNIC,mad
LNTH,mad
LSAL,mad
LSKE,cw
LTRE,mad
MIDR,mad
MORK,mad
MORR,cw
NARC,mad
NECR,mad
OKAN,mad
PARK,cw
QUES,mad
SAJR,mad
SALR,mad
SETN,mad
SHUL,mad
SQAM,cw
STHM,mad
STUL,mad
SUST,cw
TABR,mad
TAKL,mad
THOM,mad
TWAC,mad
UFRA,mad
UNTH,mad
USHU,mad
UTRE,mad
VICT,cw
WILL,mad
WORC,cw
