watershed_group_code,model
ADMS,cw
ALBN,cw
ATNA,cw
BABL,cw
BABR,cw
BARR,cw
BBAR,cw
BELA,cw
BIGC,cw
BLAR,cw
BONP,cw
BOWR,cw
BRID,cw
BRKS,cw
BULK,cw
BULL,cw
CAMB,cw
CANO,cw
CARP,cw
CARR,cw
CHES,cw
CHIL,cw
CHIR,cw
CHWK,cw
CLAY,cw
CLRH,cw
CLWR,cw
COLR,cw
COMX,cw
COTR,cw
COWN,cw
CRKD,cw
DEAD,cw
DOGC,cw
DRIR,cw
DUNC,cw
ELKR,cw
EUCH,cw
EUCL,cw
FINA,cw
FINL,cw
FIRE,cw
FOXR,cw
FRAN,cw
FRCN,cw
GLAR,cw
GOLD,cw
GRAI,cw
GRNL,cw
GUIC,cw
HARR,cw
HERR,cw
HOLB,cw
HOMA,cw
HORS,cw
INGR,cw
INKR,cw
JENR,cw
JERV,cw
KEEC,cw
KETL,cw
KHOR,cw
KHTZ,cw
KINR,cw
KISP,cw
KITL,cw
KITR,cw
KLIN,cw
KLUM,cw
KNIG,cw
KOTL,cw
KOTR,cw
KSHR,cw
KTSU,cw
KUMR,cw
LARL,cw
LBIR,cw
LCHL,cw
LCHR,cw
LDEN,cw
LEUT,cw
LFRA,cw
LILL,cw
LISR,cw
LKEL,cw
LNAR,cw
LNIC,cw
LNRS,cw
LNTH,cw
LOMI,cw
LRDO,cw
LSAL,cw
LSKE,cw
LSTR,cw
LTRE,cw
MAHD,cw
MBNK,cw
MCGR,cw
MESC,cw
MESI,cw
MFRA,cw
MIDR,cw
MORI,cw
MORK,cw
MORR,cw
MSKE,cw
MSTR,cw
MURT,cw
MUSK,cw
NAHR,cw
NAKR,cw
NARC,cw
NASC,cw
NASR,cw
NATR,cw
NAZR,cw
NBNK,cw
NECL,cw
NECR,cw
NEVI,cw
NICL,cw
NIEL,cw
NIMP,cw
OKAN,cw
OSPK,cw
OWIK,cw
PARA,cw
PARK,cw
PARS,cw
PCEA,cw
PORI,cw
QUES,cw
REVL,cw
SAJR,cw
SALM,cw
SALR,cw
SANJ,cw
SETN,cw
SEYM,cw
SHER,cw
SHUL,cw
SIML,cw
SKGT,cw
SLOC,cw
SMAR,cw
SQAM,cw
STHM,cw
STIR,cw
STUL,cw
STUR,cw
SUST,cw
SWIR,cw
TABR,cw
TAHR,cw
TAHS,cw
TAKL,cw
TASR,cw
TATR,cw
TAYR,cw
TESR,cw
THOM,cw
TOBA,cw
TOOD,cw
TSAY,cw
TSIT,cw
TWAC,cw
UARL,cw
UBIR,cw
UCHR,cw
UDEN,cw
UEUT,cw
UFRA,cw
UJER,cw
UNAR,cw
UNRS,cw
UNTH,cw
UNUR,cw
UOMI,cw
UPCE,cw
USHU,cw
USKE,cw
USTK,cw
UTRE,cw
VICT,cw
WILL,cw
WORC,cw
ZYMO,cw
