watershed_group_code,model
ADMS,mad
BBAR,mad
BIGC,mad
BLAR,mad
BONP,mad
BOWR,mad
BRID,mad
CARR,mad
CHES,mad
CHIL,mad
CHIR,mad
CHWK,mad
CLWR,mad
COTR,mad
DEAD,mad
DOGC,mad
DRIR,mad
EUCH,mad
EUCL,mad
FRAN,mad
FRCN,mad
GRNL,mad
GUIC,mad
HARR,mad
HERR,mad
HORS,mad
LCHL,mad
LCHR,mad
LEUT,mad
LFRA,mad
LILL,mad
LNIC,mad
LNRS,mad
LNTH,mad
LSAL,mad
LTRE,mad
MAHD,mad
MCGR,mad
MFRA,mad
MIDR,mad
MORK,mad
MURT,mad
MUSK,mad
NARC,mad
NAZR,mad
NECR,mad
NICL,mad
QUES,mad
SAJR,mad
SALR,mad
SETN,mad
SHUL,mad
STHM,mad
STUL,mad
STUR,mad
TABR,mad
TAKL,mad
TASR,mad
THOM,mad
TWAC,mad
UCHR,mad
UEUT,mad
UFRA,mad
UNRS,mad
UNTH,mad
USHU,mad
UTRE,mad
WILL,mad
