watershed_group_code,crossing_feature_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
BULK,DAM,0.00,0.00,0.90,10.63,0.00,0.00,0.00,2.63,0.90,12.86,12.86
BULK,RAIL,507.72,583.74,714.31,1372.47,62.03,324.03,513.95,1256.00,717.51,1962.49,1962.49
BULK,"ROAD, DEMOGRAPHIC",23.43,40.52,64.74,143.80,0.00,10.56,30.68,128.13,64.74,190.02,190.02
BULK,"ROAD, RESOURCE/OTHER",759.60,794.91,1012.34,1929.35,51.72,245.63,699.46,1923.29,1118.21,2687.40,2789.50
BULK,TRAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ELKR,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,15.97,15.97
ELKR,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.37,13.81,14.02
ELKR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.45,56.38,56.38
ELKR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,980.27,1313.83,1315.92
HORS,DAM,0.00,0.00,0.00,8.09,0.00,0.00,0.00,0.00,0.00,8.09,8.09
HORS,"ROAD, DEMOGRAPHIC",0.00,1.25,3.38,3.93,3.38,0.00,0.00,0.00,3.38,3.93,7.31
HORS,"ROAD, RESOURCE/OTHER",0.00,2.78,2.21,19.39,0.15,0.00,0.00,0.00,2.21,19.45,19.45
LNIC,DAM,0.00,0.00,1.79,4.00,0.00,0.00,0.00,2.65,1.79,4.36,4.36
LNIC,"ROAD, DEMOGRAPHIC",0.76,0.75,3.31,17.02,0.00,0.00,0.75,23.54,3.31,34.07,34.07
LNIC,"ROAD, RESOURCE/OTHER",6.92,7.40,13.18,48.38,5.52,280.04,7.09,36.86,14.74,350.70,352.26
LNIC,TRAIL,88.16,95.15,112.22,171.52,0.00,0.00,88.86,149.58,112.22,204.95,204.95
LNIC,WEIR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
