watershed_group_code,crossing_feature_type,n_assessed_barrier,n_assessed_total,pct_assessed_barriers
BULK,DAM,23,24,95.8
BULK,RAIL,5,9,55.6
BULK,"ROAD, DEMOGRAPHIC",198,241,82.2
BULK,"ROAD, RESOURCE/OTHER",424,658,64.4
BULK,TRAIL,0,2,0.0
ELKR,DAM,6,8,75.0
ELKR,RAIL,6,15,40.0
ELKR,"ROAD, DEMOGRAPHIC",41,59,69.5
ELKR,"ROAD, RESOURCE/OTHER",168,315,53.3
ELKR,TRAIL,0,2,0.0
HORS,DAM,6,9,66.7
HORS,"ROAD, DEMOGRAPHIC",30,41,73.2
HORS,"ROAD, RESOURCE/OTHER",121,200,60.5
LNIC,DAM,29,32,90.6
LNIC,"ROAD, DEMOGRAPHIC",29,33,87.9
LNIC,"ROAD, RESOURCE/OTHER",54,74,73.0
LNIC,TRAIL,0,4,0.0
