watershed_group_code,crossing_feature_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
ADMS,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADMS,"ROAD, DEMOGRAPHIC",7.73,10.25,13.72,20.38,0.00,0.00,0.00,0.00,13.72,20.38,20.38
ADMS,"ROAD, RESOURCE/OTHER",8.53,13.96,15.85,20.02,0.00,0.00,0.00,0.00,15.85,20.02,20.02
ALBN,DAM,3.53,4.08,4.08,5.03,0.00,0.00,46.76,36.91,47.31,37.86,57.29
ALBN,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALBN,"ROAD, DEMOGRAPHIC",12.50,19.99,24.53,28.27,0.02,0.00,17.41,25.71,25.09,30.27,30.27
ALBN,"ROAD, RESOURCE/OTHER",120.92,144.73,182.67,170.13,6.93,0.00,155.69,226.45,203.66,239.51,267.35
ATLL,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATLL,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATLL,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATNA,"ROAD, DEMOGRAPHIC",2.11,3.90,5.44,9.14,0.00,0.00,2.42,13.41,5.56,17.17,17.17
ATNA,"ROAD, RESOURCE/OTHER",1.67,1.47,12.34,17.58,0.00,0.00,3.81,14.82,12.34,21.69,22.43
BABL,DAM,0.00,0.00,2.02,3.55,21.98,0.00,0.00,0.00,24.00,3.55,25.53
BABL,"ROAD, DEMOGRAPHIC",4.14,9.24,10.94,19.02,0.00,0.00,0.00,0.00,10.94,19.02,19.02
BABL,"ROAD, RESOURCE/OTHER",37.18,117.11,223.18,466.91,2.99,0.00,0.00,0.00,226.17,466.91,469.90
BABR,"ROAD, RESOURCE/OTHER",2.22,10.73,35.09,97.24,0.00,0.00,6.09,69.19,35.09,126.36,126.36
BBAR,DAM,0.52,0.52,4.75,5.96,0.00,0.00,0.00,0.00,4.75,5.96,5.96
BBAR,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BBAR,"ROAD, DEMOGRAPHIC",1.63,3.06,3.05,3.05,0.00,0.00,0.00,0.00,3.05,3.05,3.05
BBAR,"ROAD, RESOURCE/OTHER",3.17,7.13,14.94,16.80,0.00,0.00,0.00,0.00,14.94,16.80,16.80
BEAV,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BELA,DAM,1.47,1.87,1.87,1.88,0.00,0.00,1.46,1.88,1.87,1.88,1.88
BELA,"ROAD, DEMOGRAPHIC",0.75,3.21,2.86,4.31,0.00,0.00,0.85,4.83,2.86,4.83,4.83
BELA,"ROAD, RESOURCE/OTHER",139.92,62.61,191.88,121.49,14.52,272.76,158.92,123.16,194.86,436.21,562.11
BIGC,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIGC,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIGC,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLAR,"ROAD, DEMOGRAPHIC",0.00,0.00,6.00,36.17,0.00,0.00,0.00,0.00,6.00,36.17,36.17
BLAR,"ROAD, RESOURCE/OTHER",0.00,0.00,18.57,175.35,4.13,9.45,0.00,0.00,21.58,184.80,184.84
BLUR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
